start,goal,stress_level,subject,trialID,timeInTrial,trialNumber,selected,blockedWall,isStressTrial,success,isBlockedTrial,isStressFirst,isFemale,speed,nodeDistance,trialType,nodePath,blockedNodePath,shortestPathLength,Efficiency,type
F1,C7,2,566,16,10.08337,9,C7,,False,1,False,False,True,0.991731930892152,10.0,A,"['F1', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7', 'D7', 'C7']",,10,0.0,control
G2,C6,2,566,19,8.551392,10,C6,,False,1,False,False,True,1.05246023103607,9.0,A,"['G2', 'G3', 'F3', 'E3', 'E4', 'D4', 'C4', 'C5', 'C6']",,9,0.0,control
F6,B2,2,566,14,8.329712,11,B2,,False,1,False,False,True,1.080469528838452,9.0,A,"['F6', 'E6', 'E5', 'E4', 'D4', 'C4', 'C3', 'C2', 'B2']",,9,0.0,control
E6,D1,2,566,20,6.196533,12,D1,,False,1,False,False,True,1.129663958862157,7.0,A,"['E6', 'E5', 'E4', 'E3', 'E2', 'E1', 'D1']",,7,0.0,control
G5,A6,2,566,25,9.117676,13,A6,,False,1,False,False,True,1.0967707121858683,10.0,A,"['G5', 'G4', 'F4', 'E4', 'D4', 'C4', 'B4', 'A4', 'A5', 'A6']",,10,0.0,control
A1,F6,4,566,2,13.60425,15,F6,B2South,True,1,True,False,True,0.9555837330246064,13.0,C,"['A1', 'A2', 'B2', 'A2', 'A3', 'A4', 'B4', 'C4', 'D4', 'E4', 'E5', 'E6', 'F6']","['B2', 'A2', 'A3', 'A4', 'B4', 'C4', 'D4', 'E4', 'E5', 'E6', 'F6']",11,0.0,stress blocked
F6,A6,3,566,13,9.106689,16,A6,,True,1,False,False,True,0.8784751516165755,8.0,B,"['F6', 'E6', 'E7', 'D7', 'C7', 'B7', 'A7', 'A6']",,8,0.0,stress non-blocked
C7,B2,3,566,11,9.51709,17,B2,,True,1,False,False,True,0.9456672155038988,9.0,B,"['C7', 'C6', 'C5', 'C4', 'B4', 'A4', 'A3', 'A2', 'B2']",,7,0.2857142857142857,stress non-blocked
G2,C7,3,566,9,10.3623,18,C7,,True,1,False,False,True,1.1580440635766192,12.0,B,"['G2', 'G1', 'F1', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7', 'D7', 'C7']",,10,0.2,stress non-blocked
B2,C6,4,566,5,12.25098,19,C6,C3East,True,1,True,False,True,0.9795134756566414,12.0,C,"['B2', 'C2', 'C3', 'C2', 'B2', 'A2', 'A3', 'A4', 'B4', 'C4', 'C5', 'C6']","['C3', 'C2', 'B2', 'A2', 'A3', 'A4', 'B4', 'C4', 'C5', 'C6']",10,0.0,stress blocked
A6,G2,3,566,8,9.983643,20,G2,,True,1,False,False,True,1.101802217887799,11.0,B,"['A6', 'A5', 'A4', 'B4', 'C4', 'D4', 'E4', 'E3', 'F3', 'G3', 'G2']",,11,0.0,stress non-blocked
F1,E6,2,566,10,7.418945,21,E6,,True,1,False,False,True,0.943530380667332,7.0,B,"['F1', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6']",,7,0.0,stress non-blocked
A1,D4,2,566,12,7.762939,22,D4,,True,1,False,False,True,0.9017203407111662,7.0,B,"['A1', 'A2', 'B2', 'C2', 'C3', 'C4', 'D4']",,7,0.0,stress non-blocked
D4,G2,4,566,6,12.17212,23,G2,F3South,True,1,True,False,True,1.1501694035221477,14.0,C,"['D4', 'E4', 'E3', 'F3', 'E3', 'E4', 'E5', 'E6', 'F6', 'G6', 'G5', 'G4', 'G3', 'G2']","['F3', 'E3', 'E4', 'E5', 'E6', 'F6', 'G6', 'G5', 'G4', 'G3', 'G2']",7,0.5714285714285714,stress blocked
G5,C7,4,566,7,14.51563,24,C7,F6North,True,1,True,False,True,1.1711513726927456,17.0,C,"['G5', 'G4', 'G5', 'G6', 'F6', 'G6', 'G5', 'G4', 'G3', 'F3', 'E3', 'E4', 'D4', 'C4', 'C5', 'C6', 'C7']","['F6', 'G6', 'G5', 'G4', 'G3', 'F3', 'E3', 'E4', 'D4', 'C4', 'C5', 'C6', 'C7']",13,0.0,stress blocked
E6,A1,3,566,3,13.58398,25,A1,E5West,True,1,True,False,True,1.03062578125115,14.0,C,"['E6', 'E5', 'E6', 'E7', 'D7', 'C7', 'B7', 'A7', 'A6', 'A5', 'A4', 'A3', 'A2', 'A1']","['E5', 'E6', 'E7', 'D7', 'C7', 'B7', 'A7', 'A6', 'A5', 'A4', 'A3', 'A2', 'A1']",13,0.0,stress blocked
F1,E6,3,567,10,15.17047,2,E6,E2East,True,1,True,True,True,0.8569279659760047,13.0,C,"['F1', 'E1', 'E2', 'E1', 'D1', 'C1', 'C2', 'C3', 'C4', 'D4', 'E4', 'E5', 'E6']","['E2', 'E1', 'D1', 'C1', 'C2', 'C3', 'C4', 'D4', 'E4', 'E5', 'E6']",11,0.0,stress blocked
A1,D4,3,567,12,14.15973,3,D4,B4South,True,1,True,True,True,1.0593422332205489,15.0,C,"['A1', 'A2', 'A3', 'A4', 'B4', 'A4', 'A5', 'A6', 'A7', 'B7', 'C7', 'C6', 'C5', 'C4', 'D4']","['B4', 'A4', 'A5', 'A6', 'A7', 'B7', 'C7', 'C6', 'C5', 'C4', 'D4']",9,0.2222222222222222,stress blocked
